weight,id,property_id,listing_id,parcel_number,street_address,city_name,postal_code,county_name,contract_date,sale_age,coe_date,listing_status,sale_price,rent,list_price,original_list_price,living_sqft,beds_total,baths_total,lot_size,area_id,area_text,age,year_built,latitude,longitude,latitude6,longitude6,garage_spaces,fp_count,no_of_stories,style,view,days_on_market,listing_date,sale_concessions
1,10,948039455,AN64996550,402-264-15,1329 Primrose Lane,Valleybrook,93711,Madera,11/10/25,51,12/2/25,Sold,2858000,8249,2454000,2827000,2199,4,2.5,5993,467,Heritage Gate,99,1923,37.725,-121.452,37.7253627,-121.4516578,1,,,,,15,10/26/25,0
1,11,901843251,AN56073103,810-923-24,1447 Fox Run Court,Valleybrook,93712,Madera,11/10/25,51,12/19/25,Sold,855000,1861,887000,978000,1377,2,2,1334,461,Valleybrook Downtown,50,1976,37.718,-121.435,37.717736,-121.4349656,2,,,,,20,10/21/25,0
1,12,902047721,AN93610257,673-626-23,1438 Ridgeline Drive,Valleybrook,93710,Madera,11/6/25,55,11/6/25,Sold,2456000,6718,2478000,,1717,3,2,5767,465,Eastside Terrace,102,1922,37.72,-121.444,37.7197042,-121.4440899,2,,,Bungalow,,27,10/10/25,0
1,13,914679315,AN44727276,327-622-76,1211 Poplar Avenue,Valleybrook,93710,Madera,10/28/25,64,11/26/25,Sold,788000,1582,807000,785000,787,2,1,1000,467,Heritage Gate,58,1970,37.724,-121.449,37.7238634,-121.4489725,1,,,,,13,10/15/25,0
1,14,939386369,AN15226275,979-209-17,739 Osprey Way,Valleybrook,93713,Madera,10/25/25,67,10/31/25,Sold,1189000,2515,1187000,1210000,1197,2,2.5,1000,465,Eastside Terrace,43,1981,37.718,-121.441,37.7181414,-121.4413749,2,,,Contemporary,Neighborhood,5,10/20/25,0
1,15,976670571,AN92427437,376-928-72,554 Golden Eagle Lane,Valleybrook,93710,Madera,10/19/25,73,11/17/25,Sold,840000,1818,934000,1083000,1144,2,2,1196,461,Valleybrook Downtown,30,1996,37.716,-121.437,37.7159805,-121.4373322,1,,,Mediterranean,Other,17,10/2/25,0
1,16,911378739,AN55406344,422-511-31,1530 Valley Oak Drive,Valleybrook,93710,Madera,10/8/25,84,10/30/25,Sold,2590000,7191,2482000,2429000,1900,3,3,7703,471,Summit Terrace,75,1950,37.714,-121.477,37.7139387,-121.4774097,2,,,,,27,9/11/25,0
1,17,930056261,AN78123659,390-374-94,1905 Willow Springs Drive,Valleybrook,93712,Madera,10/8/25,84,10/17/25,Sold,4629000,12642,4892000,4880000,3610,5,4.5,10235,466,Creekview Estates,22,2002,37.718,-121.449,37.7179425,-121.4494649,2,,,"Custom,Traditional",,34,9/4/25,0
1,18,986159185,AN69322805,278-867-37,834 Copper Creek Way,Valleybrook,93710,Madera,10/7/25,85,10/29/25,Sold,3460000,9612,3593000,3648000,2990,4,4,6266,460,Central Park,101,1923,37.718,-121.443,37.71815,-121.4433431,2,,,,,13,9/24/25,0
1,19,953199848,AN68795196,635-774-96,1504 Creekside Court,Valleybrook,93710,Madera,10/6/25,86,10/20/25,Sold,731000,1878,724000,736000,967,1,2,1115,460,Central Park,43,1979,37.718,-121.442,37.717598,-121.4415865,1,,One Story,Contemporary,,37,8/30/25,0
1,20,946453084,AN71567486,505-269-68,2710 River Stone Court,Valleybrook,93711,Madera,10/5/25,87,10/16/25,Sold,3153000,8879,3131000,3273000,2907,3,3,10644,471,Summit Terrace,66,1956,37.713,-121.469,37.7128008,-121.4690252,2,,,,"Canyon,Greenbelt,Mountains",19,9/16/25,0
1,21,901483935,AN23596622,249-862-81,704 Creekside Court,Valleybrook,93711,Madera,9/30/25,92,10/31/25,Sold,2367000,5237,2425000,2454000,2080,3,1.5,5002,462,Riverside,95,1929,37.72,-121.423,37.7197311,-121.4226976,2,,,,,37,8/24/25,0
1,22,958004568,AN67727800,969-340-46,708 Foothill Drive,Valleybrook,93711,Madera,9/29/25,93,10/17/25,Sold,5967000,14473,6108000,5939000,3345,4,4.5,8705,460,Central Park,12,2016,37.716,-121.442,37.7158124,-121.4420061,2,,,,,38,8/22/25,0
1,23,932287747,AN12226394,571-291-44,2104 Walnut Creek Court,Valleybrook,93710,Madera,9/27/25,95,10/31/25,Sold,2429000,5224,2216000,2189000,1670,3,2,4869,466,Creekview Estates,101,1924,37.717,-121.451,37.7168262,-121.4510844,1,,,,,28,8/30/25,0
1,24,965535348,AN87340611,939-197-86,1431 Rolling Hills Lane,Valleybrook,93711,Madera,9/25/25,97,11/7/25,Sold,5446000,12748,4861000,5093000,3480,4,4,6088,466,Creekview Estates,0,2025,37.719,-121.462,37.7189782,-121.4620583,1,,,"Contemporary,Luxury,Traditional",,13,9/12/25,0
1,25,939807633,AN67163632,870-376-99,1489 Vineyard Way,Valleybrook,93710,Madera,9/24/25,98,10/6/25,Sold,1258000,3278,1302000,1374000,1480,2,2,1731,461,Valleybrook Downtown,28,1995,37.717,-121.439,37.7167088,-121.438635,2,,,,,28,8/27/25,0
1,26,927289414,AN68592599,192-841-41,2715 Manzanita Road,Valleybrook,93711,Madera,9/24/25,98,10/9/25,Sold,2938000,6335,2707000,2743000,2081,3,2,8717,472,Mill Creek Estates,64,1960,37.722,-121.473,37.7218499,-121.4728204,2,,,,Bay,9,9/15/25,0
1,27,909028796,AN86024718,920-643-70,1511 Eucalyptus Lane,Valleybrook,93712,Madera,9/19/25,103,10/10/25,Sold,3435000,7169,3169000,3117000,3210,5,3,7685,471,Summit Terrace,73,1953,37.714,-121.477,37.7138043,-121.4766469,2,,,Colonial,,3,9/16/25,0
1,28,983009769,AN20191870,303-195-21,3065 Elm Grove Way,Valleybrook,93713,Madera,9/19/25,103,10/10/25,Sold,2843000,8288,2857000,2815000,2120,4,2,12270,472,Mill Creek Estates,61,1966,37.719,-121.483,37.7192599,-121.4826696,2,,,,,1,9/18/25,0
1,29,942760310,AN39187446,205-674-45,195 Amber Hills Way,Valleybrook,93711,Madera,9/18/25,104,9/29/25,Sold,3675000,10452,3589000,3559000,2358,4,3.5,4698,462,Riverside,1,2026,37.724,-121.42,37.7235675,-121.4195723,1,,,,,27,8/22/25,0
1,30,995207723,AN62652401,288-942-81,1820 Hawk Ridge Road,Valleybrook,93710,Madera,9/17/25,105,10/17/25,Sold,3784000,8368,3409000,3538000,2110,3,2,8517,472,Mill Creek Estates,62,1965,37.721,-121.48,37.7212989,-121.4803505,2,,,Ranch,"Bay,Bridge ,City Lights,Hills,Mountains,Neighborhood",15,9/2/25,0
1,31,903356886,AN46913810,350-328-27,1020 Cherry Blossom Drive,Valleybrook,93710,Madera,9/16/25,106,10/7/25,Sold,2738000,8201,1612000,1633000,1230,2,1,3516,465,Eastside Terrace,100,1924,37.721,-121.445,37.7212406,-121.4445802,2,,,,,30,8/17/25,0
1,32,981823275,AN23318904,881-312-90,1080 Wild Rose Way,Valleybrook,93710,Madera,9/16/25,106,10/1/25,Sold,1356000,3093,1310000,1271000,860,2,1,4328,467,Heritage Gate,83,1939,37.728,-121.452,37.727529,-121.4519163,2,,,,,25,8/22/25,0
1,33,939585149,AN44809916,814-550-43,2694 Pelican Drive,Valleybrook,93711,Madera,9/16/25,106,10/10/25,Sold,3756000,8065,3171000,3173000,3109,4,4,17393,471,Summit Terrace,69,1953,37.713,-121.468,37.71293,-121.4676901,2,,,,,24,8/23/25,0
1,34,986588420,AN74927109,485-583-87,223 Magnolia Way,Valleybrook,93710,Madera,9/11/25,111,9/19/25,Sold,1916000,5585,1907000,1947000,1360,2,1,5381,462,Riverside,87,1937,37.722,-121.421,37.7215123,-121.4213474,1,,,,,14,8/28/25,0
1,35,922511225,AN55992559,564-710-85,1357 Wild Rose Way,Valleybrook,93712,Madera,9/10/25,112,9/25/25,Sold,1948000,4054,1835000,1808000,1590,2,2,4792,465,Eastside Terrace,105,1924,37.72,-121.442,37.7202565,-121.4421527,2,,,Bungalow,,9,9/1/25,0
1,36,909826486,AN30634593,525-211-65,785 Falcon Ridge Drive,Valleybrook,93711,Madera,9/6/25,116,9/16/25,Sold,2607000,5345,2547000,2465000,1618,3,2,5218,465,Eastside Terrace,86,1943,37.72,-121.439,37.7198489,-121.4387101,2,,One Story,Spanish,,8,8/29/25,0
1,37,918892086,AN40281491,980-792-96,114 Pine Meadow Drive,Valleybrook,93710,Madera,9/2/25,120,10/2/25,Sold,1312000,3202,1387000,1374000,1740,2,2,1967,461,Valleybrook Downtown,51,1973,37.715,-121.427,37.7146239,-121.4274211,2,,,Contemporary,Neighborhood,0,9/2/25,0
1,38,997211032,AN92371735,520-197-11,519 Elm Grove Way,Valleybrook,93713,Madera,8/29/25,124,9/19/25,Sold,2831000,6889,2308000,2919000,2335,4,3,6268,464,Garden District,97,1927,37.724,-121.43,37.7240862,-121.4300598,1,,,,,31,7/29/25,0
1,39,913240677,AN71368875,290-326-50,330 Magnolia Way,Valleybrook,93711,Madera,8/26/25,127,9/30/25,Sold,3703000,9786,3927000,4222000,2335,3,2.5,7588,460,Central Park,109,1915,37.712,-121.435,37.7117653,-121.4346198,2,,,"Arts and Crafts,Craftsman,Traditional",,37,7/20/25,0
1,40,926268818,AN43889297,602-548-96,2199 Willow Springs Drive,Valleybrook,93711,Madera,8/21/25,132,9/22/25,Sold,3751000,8547,3818000,3809000,2567,4,3.5,4968,466,Creekview Estates,96,1929,37.722,-121.463,37.7222441,-121.4626496,1,,,"Custom,Tudor",Neighborhood,33,7/19/25,0
1,41,970662368,AN51144384,702-941-72,1681 Stonegate Drive,Valleybrook,93711,Madera,8/20/25,133,9/8/25,Sold,2644000,7412,2773000,2810000,2410,4,2.5,8130,472,Mill Creek Estates,60,1967,37.716,-121.482,37.7164711,-121.4822858,2,,,,,36,7/15/25,0
1,42,943632879,AN78510704,599-893-67,1401 Wren Court,Valleybrook,93712,Madera,8/18/25,135,9/8/25,Sold,2149000,5216,1589000,1580000,1135,2,1,3984,465,Eastside Terrace,86,1940,37.721,-121.444,37.7205453,-121.4444561,1,,,,,10,8/8/25,0
1,43,957610401,AN97977738,193-820-22,1239 Ironwood Avenue,Valleybrook,93711,Madera,8/15/25,138,9/15/25,Sold,1551000,3161,1647000,1709000,1790,2,2.5,1671,461,Valleybrook Downtown,41,1983,37.717,-121.431,37.7174767,-121.4313786,2,,,Cape Cod,"Hills,Neighborhood",22,7/24/25,0
1,44,935606090,AN73097822,255-596-33,2410 Redwood Terrace,Valleybrook,93711,Madera,8/13/25,140,9/3/25,Sold,3861000,8630,3946000,3926000,2970,4,4,6015,466,Creekview Estates,100,1922,37.719,-121.461,37.7192511,-121.4608278,2,,,,,19,7/25/25,0
1,45,960680386,AN38834825,564-736-43,2981 Canyon View Court,Valleybrook,93713,Madera,8/13/25,140,9/30/25,Sold,3058000,9125,3088000,3118000,2240,4,3,12377,472,Mill Creek Estates,61,1963,37.719,-121.481,37.7194289,-121.4809784,2,,,,,2,8/11/25,0
1,46,910324210,AN58469365,357-352-90,1230 Blue Jay Way,Valleybrook,93713,Madera,8/7/25,146,8/18/25,Sold,975000,2922,1004000,995000,1245,2,2,1263,461,Valleybrook Downtown,44,1980,37.719,-121.431,37.7185028,-121.4310632,2,,,Traditional,Neighborhood,29,7/9/25,0
1,47,938119652,AN49258091,988-764-59,1421 Pelican Drive,Valleybrook,93710,Madera,8/6/25,147,9/3/25,Sold,3621000,10531,3569000,3698000,2710,5,3.5,6003,467,Heritage Gate,50,1978,37.727,-121.454,37.7267898,-121.4540488,2,,,,,10,7/27/25,0
1,48,922463582,AN44426734,797-832-98,3129 Sand Piper Way,Valleybrook,93712,Madera,8/4/25,149,8/22/25,Sold,3084000,8032,2956000,2912000,2240,4,2,8826,472,Mill Creek Estates,58,1963,37.718,-121.483,37.7182448,-121.4834243,2,,,,,24,7/11/25,0
1,49,913100228,AN48759195,416-655-98,733 Boulder Creek Drive,Valleybrook,93712,Madera,8/2/25,151,8/25/25,Sold,2913000,6167,2776000,2933000,2020,3,2,5376,463,Grove Manor,84,1938,37.722,-121.427,37.7221506,-121.4269717,1,,,,,7,7/26/25,0
1,50,974181946,AN96134135,719-877-86,853 Sand Piper Way,Valleybrook,93712,Madera,8/1/25,152,8/21/25,Sold,2385000,6672,2514000,2527000,1450,3,2,5891,464,Garden District,101,1926,37.723,-121.436,37.7229509,-121.4364345,1,,,"Bungalow,Traditional",Neighborhood,0,8/1/25,0
1,51,976520583,AN62430988,843-464-26,1828 Sierra Vista Way,Valleybrook,93711,Madera,7/31/25,153,9/3/25,Sold,3796000,9230,3708000,3779000,3300,4,2.5,8730,472,Mill Creek Estates,65,1961,37.722,-121.48,37.7221465,-121.4796002,2,,,Mediterranean,"Bay,City Lights,Greenbelt,Hills,Neighborhood",16,7/15/25,0
1,52,996105940,AN71428713,137-400-35,1134 Heron Point Road,Valleybrook,93710,Madera,7/30/25,154,8/11/25,Sold,2432000,7075,2155000,2135000,1160,2,1,6014,466,Creekview Estates,106,1922,37.718,-121.451,37.7176524,-121.4514924,2,,,,,28,7/2/25,0
1,53,913349287,AN27431859,867-848-43,733 Wren Court,Valleybrook,93710,Madera,7/30/25,154,8/21/25,Sold,3185000,9266,3456000,3449000,2173,3,2.5,5012,463,Grove Manor,87,1936,37.721,-121.425,37.7205925,-121.4252576,1,,,,,30,6/30/25,0
1,54,992310921,AN76025948,873-588-48,1405 Redwood Terrace,Valleybrook,93710,Madera,7/29/25,155,8/15/25,Sold,4125000,10351,4033000,4000000,3040,4,3,6063,466,Creekview Estates,101,1926,37.722,-121.459,37.7215354,-121.4594275,1,,Two Story,"Contemporary,Custom",,20,7/9/25,0
1,55,973252711,AN29856655,714-784-83,802 Primrose Lane,Valleybrook,93710,Madera,7/29/25,155,8/29/25,Sold,1754000,4395,1849000,2001000,1450,2,1.5,3098,465,Eastside Terrace,89,1935,37.721,-121.437,37.7206539,-121.4374898,1,,,Tudor,,31,6/28/25,0
1,56,932301683,AN82445335,322-872-17,1202 Willow Springs Drive,Valleybrook,93713,Madera,7/28/25,156,8/25/25,Sold,2886000,6863,2878000,2750000,1590,3,2,4302,465,Eastside Terrace,2,2027,37.723,-121.443,37.7230665,-121.4433806,0,,,,,21,7/7/25,0
1,57,933704923,AN51373735,473-915-15,1012 Cedar Brook Court,Valleybrook,93711,Madera,7/25/25,159,9/5/25,Sold,1971000,5783,1916000,1921000,1830,4,3,5143,464,Garden District,81,1947,37.724,-121.44,37.7238613,-121.4403198,1,,,,,19,7/6/25,0
1,58,988842638,AN55199748,997-884-89,1113 Redwood Terrace,Valleybrook,93710,Madera,7/24/25,160,7/11/25,Sold,2078000,6075,2109000,,1940,3,2,6830,465,Eastside Terrace,111,1915,37.721,-121.437,37.7208795,-121.437233,1,,,,,32,6/22/25,0
1,59,953402482,AN39808788,868-690-26,1402 Creekside Court,Valleybrook,93712,Madera,7/23/25,161,8/13/25,Sold,1022000,2970,1119000,1248000,1420,2,2.5,1000,467,Heritage Gate,34,1993,37.725,-121.454,37.7254485,-121.4541037,2,,,,,25,6/28/25,0
1,60,934616300,AN94288202,802-587-98,1480 River Stone Court,Valleybrook,93713,Madera,7/22/25,162,8/13/25,Sold,917000,2209,918000,1065000,1263,2,2,1362,460,Central Park,45,1981,37.714,-121.431,37.7136721,-121.4311025,1,,,,City Lights,19,7/3/25,0
1,61,948533442,AN92245683,982-365-33,1420 Meadowlark Drive,Valleybrook,93712,Madera,7/18/25,166,9/2/25,Sold,2004000,5881,1967000,2296000,1240,2,1,5996,460,Central Park,103,1921,37.726,-121.454,37.7261965,-121.4537451,1,,,,,31,6/17/25,0
1,62,919187023,AN95178684,134-955-40,2962 Fox Run Court,Valleybrook,93710,Madera,7/17/25,167,8/15/25,Sold,3184000,7985,2967000,3012000,2490,3,2.5,11120,472,Mill Creek Estates,62,1964,37.717,-121.478,37.7169749,-121.4779156,2,,,,,33,6/14/25,0
1,63,979039884,AN16037602,603-982-12,1516 Acacia Court,Valleybrook,93713,Madera,7/13/25,171,8/7/25,Sold,4239000,10137,4707000,4848000,3040,5,4.5,5996,466,Creekview Estates,28,1998,37.725,-121.462,37.7246685,-121.4622209,2,,,Mediterranean,"City Lights,Neighborhood",25,6/18/25,0
1,64,995510117,AN90191410,158-892-32,144 Robin Lane,Valleybrook,93712,Madera,7/10/25,174,8/1/25,Sold,3933000,7874,3983000,3926000,3335,4,3.5,12295,471,Summit Terrace,95,1927,37.713,-121.474,37.7128898,-121.4743638,2,,,Spanish,Neighborhood,16,6/24/25,0
1,65,990596467,AN49747835,885-938-13,2723 Copper Creek Way,Valleybrook,93712,Madera,7/10/25,174,8/1/25,Sold,2421000,6676,2450000,2477000,1590,3,2,12965,471,Summit Terrace,66,1959,37.713,-121.47,37.7126515,-121.470241,2,,,,Neighborhood,23,6/17/25,0
1,66,919996104,AN53649791,191-919-89,1539 Sycamore Terrace,Valleybrook,93713,Madera,7/9/25,175,7/30/25,Sold,2893000,8549,2835000,2947000,2620,4,3.5,5993,466,Creekview Estates,98,1927,37.724,-121.462,37.7242078,-121.4624176,1,,,,,33,6/6/25,0
1,67,945765962,AN75411700,890-662-68,2979 Blue Jay Way,Valleybrook,93712,Madera,7/1/25,183,7/16/25,Sold,3534000,8349,2766000,2712000,2740,5,3,8331,472,Mill Creek Estates,59,1964,37.721,-121.483,37.7207314,-121.4828722,2,,,,,11,6/20/25,0
1,68,917638581,AN24728084,210-911-12,1708 Creekside Court,Valleybrook,93713,Madera,6/29/25,185,7/9/25,Sold,2573000,5257,2962000,3679000,2210,3,2,7161,472,Mill Creek Estates,67,1959,37.723,-121.473,37.7226413,-121.4733708,2,,,Ranch,,2,6/27/25,0
1,69,912321103,AN45408251,884-403-20,219 Wild Rose Way,Valleybrook,93711,Madera,6/28/25,186,7/31/25,Sold,1735000,3979,1530000,1477000,920,2,1,5041,462,Riverside,111,1913,37.721,-121.417,37.7208106,-121.4169596,1,,,,,39,5/20/25,0
1,70,999211455,AN81684250,676-171-48,133 Wild Rose Way,Valleybrook,93711,Madera,6/27/25,187,7/21/25,Sold,2780000,6165,2629000,2650000,1360,2,1,7237,460,Central Park,75,1950,37.711,-121.434,37.7107738,-121.4335477,1,,,,,27,5/31/25,0
1,71,993194602,AN60231696,425-713-64,144 Tanager Way,Valleybrook,93713,Madera,6/27/25,187,8/26/25,Sold,4397000,10144,4134000,4084000,4855,5,4,11750,471,Summit Terrace,83,1943,37.714,-121.474,37.7143991,-121.4737082,3,,,,,14,6/13/25,0
1,72,943951077,AN52323714,335-773-36,100 Tanager Way,Valleybrook,93710,Madera,6/25/25,189,7/16/25,Sold,2210000,4696,1959000,2059000,1210,2,1.5,7903,462,Riverside,105,1918,37.719,-121.419,37.718806,-121.4192064,3,,,Craftsman,Neighborhood,9,6/16/25,0
1,73,983932889,AN91971952,741-542-18,1543 Robin Lane,Valleybrook,93710,Madera,6/24/25,190,7/9/25,Sold,2670000,6999,2433000,2674000,1890,3,2.5,6112,466,Creekview Estates,95,1930,37.723,-121.465,37.7234011,-121.4645776,2,,,,,24,5/31/25,0
1,74,927930832,AN64464528,531-527-68,100 Walnut Creek Court,Valleybrook,93712,Madera,6/24/25,190,7/28/25,Sold,2900000,8686,2689000,2680000,2455,3,2.5,5002,461,Valleybrook Downtown,103,1923,37.715,-121.425,37.7149897,-121.4253332,2,,,"Contemporary,Farm House",Neighborhood,12,6/12/25,0
1,75,964992661,AN22956471,324-215-46,220 Meadowlark Drive,Valleybrook,93713,Madera,6/23/25,191,8/20/25,Sold,3284000,7098,2989000,2953000,1880,4,2.5,4861,462,Riverside,84,1941,37.724,-121.419,37.7237429,-121.4193203,2,,,,Neighborhood,21,6/2/25,0
1,76,963632249,AN27758896,762-277-86,1311 Juniper Ridge Road,Valleybrook,93710,Madera,6/21/25,193,7/24/25,Sold,2209000,6159,1768000,1810000,1330,2,1,5996,467,Heritage Gate,90,1937,37.726,-121.451,37.7258351,-121.4507811,1,,,,,29,5/23/25,0
1,77,919850853,AN65072076,976-325-94,2111 Osprey Way,Valleybrook,93710,Madera,6/19/25,195,7/7/25,Sold,3089000,7095,2969000,2911000,2300,3,2.5,5426,466,Creekview Estates,101,1923,37.717,-121.451,37.7168907,-121.451485,1,,,Tudor,Neighborhood,14,6/5/25,0
1,78,901445395,AN95464025,220-633-49,3007 Eucalyptus Lane,Valleybrook,93712,Madera,6/18/25,196,8/1/25,Sold,3034000,8801,2998000,2967000,2890,3,2.5,13067,471,Summit Terrace,47,1976,37.712,-121.471,37.71225,-121.4709269,2,,,,,31,5/18/25,0
1,79,919834720,AN62425387,557-838-71,1813 Oak Valley Drive,Valleybrook,93712,Madera,6/17/25,197,6/30/25,Sold,2955000,8722,2538000,2587000,2000,3,3,13166,472,Mill Creek Estates,59,1964,37.72,-121.484,37.7196844,-121.4837128,2,,,,,14,6/3/25,0
1,80,984602558,AN33420365,250-992-89,2287 Stonegate Drive,Valleybrook,93711,Madera,6/14/25,200,7/21/25,Sold,7570000,16204,7183000,7368000,4110,4,4.5,23627,466,Creekview Estates,102,1926,37.718,-121.457,37.7179391,-121.4569404,2,,,,,10,6/4/25,0
1,81,923113253,AN50894029,129-862-25,1480 Cardinal Way,Valleybrook,93712,Madera,6/13/25,201,7/3/25,Sold,1077000,2790,1118000,1072000,1420,2,2,1581,466,Creekview Estates,40,1983,37.723,-121.451,37.723123,-121.4513436,1,,,,,26,5/18/25,0
1,82,987715861,AN56676884,221-282-78,1201 Boulder Creek Drive,Valleybrook,93711,Madera,6/12/25,202,6/26/25,Sold,2881000,7414,2537000,2670000,1710,3,2,5974,466,Creekview Estates,102,1924,37.719,-121.453,37.7186561,-121.4525034,2,,,"Mediterranean,Spanish",,10,6/2/25,0
1,83,939620038,AN57268285,273-243-79,1205 Magnolia Way,Valleybrook,93713,Madera,6/11/25,203,6/11/25,Sold,899000,1895,921000,901000,991,2,2,1139,461,Valleybrook Downtown,44,1977,37.72,-121.434,37.7197241,-121.4344521,2,,,,,3,6/8/25,0
1,84,978786439,AN25331969,456-460-68,1228 Sierra Vista Way,Valleybrook,93713,Madera,6/10/25,204,7/11/25,Sold,3827000,9940,3768000,3744000,2370,4,3,7211,465,Eastside Terrace,110,1915,37.721,-121.441,37.7213047,-121.4411496,2,,,,,33,5/8/25,0
1,85,959007608,AN26523557,954-484-13,2904 River Stone Court,Valleybrook,93711,Madera,6/10/25,204,7/7/25,Sold,3369000,8338,2892000,2891000,2930,3,2.5,59951,471,Summit Terrace,74,1953,37.718,-121.472,37.7180114,-121.4720017,3,,,,,16,5/25/25,0
1,86,931076043,AN41758221,207-278-59,2210 Kingfisher Court,Valleybrook,93712,Madera,6/9/25,205,6/23/25,Sold,2640000,7239,2685000,2678000,1557,3,2,6000,466,Creekview Estates,96,1925,37.721,-121.46,37.7207131,-121.4595405,2,,,Tudor,"Garden / Greenbelt,Mountains,Neighborhood",40,4/30/25,0
1,87,976778111,AN24599356,597-741-72,821 Ironwood Avenue,Valleybrook,93713,Madera,6/7/25,207,6/23/25,Sold,4529000,13107,4266000,4353000,2829,3,2.5,6146,460,Central Park,106,1921,37.718,-121.443,37.7175178,-121.443274,2,,,"Colonial,Farm House,Traditional",Neighborhood,36,5/2/25,0
1,88,909126002,AN74114251,625-174-82,521 Magnolia Way,Valleybrook,93711,Madera,6/6/25,208,6/27/25,Sold,674000,1542,704000,695000,959,1,1,1000,461,Valleybrook Downtown,50,1976,37.716,-121.436,37.7162738,-121.436414,0,,,,,21,5/16/25,0
1,89,971083363,AN95757950,178-626-34,1494 Granite Peak Lane,Valleybrook,93712,Madera,6/3/25,211,7/17/25,Sold,965000,2721,969000,1073000,1420,2,2,1466,460,Central Park,46,1979,37.714,-121.431,37.7135441,-121.4309828,2,,,Mediterranean,"Mountains,Neighborhood",38,4/26/25,0
1,90,978176784,AN69500546,757-521-90,862 Oriole Drive,Valleybrook,93711,Madera,6/3/25,211,6/23/25,Sold,4453000,11422,4256000,4128000,2860,5,5,5328,465,Eastside Terrace,4,2020,37.72,-121.441,37.7203123,-121.441447,0,,,,,7,5/27/25,0
1,91,954126921,AN41541166,180-570-66,1349 Walnut Creek Court,Valleybrook,93713,Madera,6/2/25,212,6/23/25,Sold,5090000,14807,4683000,4799000,3860,5,4.5,5990,466,Creekview Estates,29,1995,37.72,-121.456,37.7198158,-121.456361,2,,,,,21,5/12/25,0
1,92,974797064,AN31742644,188-684-33,521 Osprey Way,Valleybrook,93710,Madera,6/2/25,212,6/24/25,Sold,1372000,3900,1393000,1543000,1485,3,2,1382,461,Valleybrook Downtown,50,1976,37.716,-121.436,37.7163309,-121.436052,2,,,,,18,5/15/25,0
